Satellite(s),Image Acquisition Completion Time,Year of Satellite Launch,SMC,Imaging Mode,PAN Res,N_PAN,N_MS,MS Res,MOA,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-2,earlier,2006,0.6,stereo,100,1,4,400,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Stereo",earlier,2012,2,stereo,150,4,0,0,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Stereo",earlier,2012,2,stereo,150,1,4,600,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Tri-Stereo",earlier,2012,2,tri-stereo,150,4,0,0,100,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Tri-Stereo",earlier,2012,2,tri-stereo,150,1,4,600,100,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOS PRISM,earlier,2006,1,stereo,250,1,0,0,3600,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiYuan-3,earlier,2012,0.8,stereo,350,1,0,0,500,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-2,earlier,2017,0.7,stereo,0,0,5,650,500,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo, recently,2021,1.2,single,30,6,0,0,25,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo, recently,2021,1.2,single,30,1,4,120,25,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4, recently,2014,6,single,30,4,0,0,25,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4, recently,2014,6,single,30,1,4,120,25,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-3, recently,2014,6,single,30,1,8,120,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-3, recently,2014,6,single,0,0,8,370,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ3N, recently,2021,0.8,single,30,1,4,120,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
