Mono High & Medium-Resolution Satellite Imagery Price List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,40-cm Pan + 1.6-m MS,$39/km2 100 km2 Pan = $32,$59/km2 100 km2 Pan = $52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3,40-cm Pan + 1.6-m 8-band MS,$42/km2 100 km2,$62/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,50-cm Pan,$35/km2 100 km2 Pan = $28,$55/km2 100 km2 Pan = $48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4," 50-cm 4-band PS
",$35/km2 100 km2 Pan = $28,$55/km2 100 km2 Pan = $48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,"
50-cm Pan + 2-m MS",$35/km2 100 km2 Pan = $28,$55/km2 100 km2 Pan = $48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3,50-cm Pan + 2-m 8-band MS,$38/km2 100 km2,$58/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Stereo," 50-cm 4-band PS
",$25/km2 25 km2,$25/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Stereo,50-cm Pan + 2-m MS,$25/km2 25 km2,$25/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Tri-Stereo," 50-cm 4-band PS
",$37.50/km2 25 km2,$37.50/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Tri-Stereo,50-cm Pan + 2-m MS,$37.50/km2 25 km2,$37.50/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-1,50-cm Pan,$28/km2 100 km2,$48/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-1,50-cm Pan + 2-m 4-band MS,$28/km2 100 km2,$28/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3A
Stereo",50-cm Pan + 2-m 4-band MS,$24/km2 25 km2,$24/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3A
Tri - Stereo",50-cm Pan + 2-m 4-band MS,$30/km2 25 km2,$30/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also","55-cm 4-band PS
",$16/km2 25 km2,$16/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also",55-cm Pan + 2.2-m MS,$16/km2 25 km2,$16/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-3," 70-cm 4-band PS
",$16/km2 100 km2,$16/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-3,70-cm Pan + 2.8-m MS,$16/km2 100 km2,$16/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EROS B
Stereo",70-cm Pan,"$20/km2 25 km2
> 30 days","$28/km2 25 km2
≤ 30 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EROS B
Tri-Stereo",70-cm Pan,"$30/km2 25 km2
> 30 days","$42/km2 25 km2
≤ 30 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2," 75-cm 4-band PS
",$12/km2 25 km2,$12/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2,75-cm Pan + 3-m MS,$12/km2 25 km2,$12/km2 25 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin-1,75-cm Pan + 3-m MS,"$18/km2 100 km2
> 60 days","$18/km2 100 km2
≤ 60 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKONOS,80-cm Pan + 3.2-m MS (only),$20/km2 100 km2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-1,1-m Pan + 4-m MS,$7/km2 100 km2,$7/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-2, 1-m 4-band PS,$8/km2 100 km2,$8/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
KOMPSAT-2,1-m Pan + 4-m MS,$8/km2 100 km2,$8/km2 100 km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
